Time,"Points:0","Points:1","Points:2","contact_pressure"
0.7,-0.5,-0.5,0.5,0
0.7,-0.5,-0.5,0.3,0
0.7,-0.5,-0.3,0.3,0
0.7,-0.5,-0.3,0.5,0
0.7,-0.3,-0.5,0.5,0
0.7,-0.3,-0.5,0.3,0
0.7,-0.3,-0.3,0.3,0
0.7,-0.3,-0.3,0.5,0
0.7,-0.5,-0.5,0.1,0
0.7,-0.5,-0.3,0.1,0
0.7,-0.3,-0.5,0.1,0
0.7,-0.3,-0.3,0.1,0
0.7,-0.5,-0.5,-0.1,0
0.7,-0.5,-0.3,-0.1,0
0.7,-0.3,-0.5,-0.1,0
0.7,-0.3,-0.3,-0.1,0
0.7,-0.5,-0.5,-0.3,0
0.7,-0.5,-0.3,-0.3,0
0.7,-0.3,-0.5,-0.3,0
0.7,-0.3,-0.3,-0.3,0
0.7,-0.5,-0.5,-0.5,0
0.7,-0.5,-0.3,-0.5,0
0.7,-0.3,-0.5,-0.5,0
0.7,-0.3,-0.3,-0.5,0
0.7,-0.5,-0.1,0.3,0
0.7,-0.5,-0.1,0.5,0
0.7,-0.3,-0.1,0.3,0
0.7,-0.3,-0.1,0.5,0
0.7,-0.5,-0.1,0.1,0
0.7,-0.3,-0.1,0.1,0
0.7,-0.5,-0.1,-0.1,0
0.7,-0.3,-0.1,-0.1,0
0.7,-0.5,-0.1,-0.3,0
0.7,-0.3,-0.1,-0.3,0
0.7,-0.5,-0.1,-0.5,0
0.7,-0.3,-0.1,-0.5,0
0.7,-0.5,0.1,0.3,0
0.7,-0.5,0.1,0.5,0
0.7,-0.3,0.1,0.3,0
0.7,-0.3,0.1,0.5,0
0.7,-0.5,0.1,0.1,0
0.7,-0.3,0.1,0.1,0
0.7,-0.5,0.1,-0.1,0
0.7,-0.3,0.1,-0.1,0
0.7,-0.5,0.1,-0.3,0
0.7,-0.3,0.1,-0.3,0
0.7,-0.5,0.1,-0.5,0
0.7,-0.3,0.1,-0.5,0
0.7,-0.5,0.3,0.3,0
0.7,-0.5,0.3,0.5,0
0.7,-0.3,0.3,0.3,0
0.7,-0.3,0.3,0.5,0
0.7,-0.5,0.3,0.1,0
0.7,-0.3,0.3,0.1,0
0.7,-0.5,0.3,-0.1,0
0.7,-0.3,0.3,-0.1,0
0.7,-0.5,0.3,-0.3,0
0.7,-0.3,0.3,-0.3,0
0.7,-0.5,0.3,-0.5,0
0.7,-0.3,0.3,-0.5,0
0.7,-0.5,0.5,0.3,0
0.7,-0.5,0.5,0.5,0
