Time,"Points:0","Points:1","Points:2","contact_pressure"
2.5,-0.5,-0.5,0.5,0
2.5,-0.5,-0.5,0.3,0
2.5,-0.5,-0.3,0.3,0
2.5,-0.5,-0.3,0.5,0
2.5,-0.3,-0.5,0.5,0
2.5,-0.3,-0.5,0.3,0
2.5,-0.3,-0.3,0.3,0
2.5,-0.3,-0.3,0.5,0
2.5,-0.5,-0.5,0.1,0
2.5,-0.5,-0.3,0.1,0
2.5,-0.3,-0.5,0.1,0
2.5,-0.3,-0.3,0.1,0
2.5,-0.5,-0.5,-0.1,0
2.5,-0.5,-0.3,-0.1,0
2.5,-0.3,-0.5,-0.1,0
2.5,-0.3,-0.3,-0.1,0
2.5,-0.5,-0.5,-0.3,0
2.5,-0.5,-0.3,-0.3,0
2.5,-0.3,-0.5,-0.3,0
2.5,-0.3,-0.3,-0.3,0
2.5,-0.5,-0.5,-0.5,0
2.5,-0.5,-0.3,-0.5,0
2.5,-0.3,-0.5,-0.5,0
2.5,-0.3,-0.3,-0.5,0
2.5,-0.5,-0.1,0.3,0
2.5,-0.5,-0.1,0.5,0
2.5,-0.3,-0.1,0.3,0
2.5,-0.3,-0.1,0.5,0
2.5,-0.5,-0.1,0.1,0
2.5,-0.3,-0.1,0.1,0
2.5,-0.5,-0.1,-0.1,0
2.5,-0.3,-0.1,-0.1,0
2.5,-0.5,-0.1,-0.3,0
2.5,-0.3,-0.1,-0.3,0
2.5,-0.5,-0.1,-0.5,0
2.5,-0.3,-0.1,-0.5,0
2.5,-0.5,0.1,0.3,0
2.5,-0.5,0.1,0.5,0
2.5,-0.3,0.1,0.3,0
2.5,-0.3,0.1,0.5,0
2.5,-0.5,0.1,0.1,0
2.5,-0.3,0.1,0.1,0
2.5,-0.5,0.1,-0.1,0
2.5,-0.3,0.1,-0.1,0
2.5,-0.5,0.1,-0.3,0
2.5,-0.3,0.1,-0.3,0
2.5,-0.5,0.1,-0.5,0
2.5,-0.3,0.1,-0.5,0
2.5,-0.5,0.3,0.3,0
2.5,-0.5,0.3,0.5,0
2.5,-0.3,0.3,0.3,0
2.5,-0.3,0.3,0.5,0
2.5,-0.5,0.3,0.1,0
2.5,-0.3,0.3,0.1,0
2.5,-0.5,0.3,-0.1,0
2.5,-0.3,0.3,-0.1,0
2.5,-0.5,0.3,-0.3,0
2.5,-0.3,0.3,-0.3,0
