Time,"Points:0","Points:1","Points:2","contact_pressure","disp:0","disp:1","disp:2","ids","nodal_area_dummy_name","penetration"
1.6,-0.5,-0.5,0.5,0,0,0,0,1,0,0
1.6,-0.5,-0.5,0.3,0,0,0,0,2,0,0
1.6,-0.5,-0.3,0.3,0,-4.165e-08,-5.7991e-08,1.8528e-08,3,0,0
1.6,-0.5,-0.3,0.5,0,-4.069e-08,-6.6388e-08,4.069e-08,4,0,0
1.6,-0.3,-0.5,0.5,0,0,0,0,5,0,0
1.6,-0.3,-0.5,0.3,0,0,0,0,6,0,0
1.6,-0.3,-0.3,0.3,0,-1.8428e-08,-4.9231e-08,1.8427e-08,7,0,0
1.6,-0.3,-0.3,0.5,0,-1.8528e-08,-5.7991e-08,4.165e-08,8,0,0
1.6,-0.5,-0.5,0.1,0,0,0,0,9,0,0
1.6,-0.5,-0.3,0.1,0,-4.3597e-08,-5.9162e-08,5.6944e-09,10,0,0
1.6,-0.3,-0.5,0.1,0,0,0,0,11,0,0
1.6,-0.3,-0.3,0.1,0,-1.9483e-08,-5.0069e-08,5.4201e-09,12,0,0
1.6,-0.5,-0.5,-0.1,0,0,0,0,13,0,0
1.6,-0.5,-0.3,-0.1,0,-4.3597e-08,-5.9163e-08,-5.6948e-09,14,0,0
1.6,-0.3,-0.5,-0.1,0,0,0,0,15,0,0
1.6,-0.3,-0.3,-0.1,0,-1.9483e-08,-5.0069e-08,-5.421e-09,16,0,0
1.6,-0.5,-0.5,-0.3,0,0,0,0,17,0,0
1.6,-0.5,-0.3,-0.3,0,-4.1651e-08,-5.7993e-08,-1.8529e-08,18,0,0
1.6,-0.3,-0.5,-0.3,0,0,0,0,19,0,0
1.6,-0.3,-0.3,-0.3,0,-1.8427e-08,-4.9232e-08,-1.8428e-08,20,0,0
1.6,-0.5,-0.5,-0.5,0,0,0,0,21,0,0
1.6,-0.5,-0.3,-0.5,0,-4.069e-08,-6.6391e-08,-4.0692e-08,22,0,0
1.6,-0.3,-0.5,-0.5,0,0,0,0,23,0,0
1.6,-0.3,-0.3,-0.5,0,-1.8527e-08,-5.7994e-08,-4.1652e-08,24,0,0
1.6,-0.5,-0.1,0.3,0,-3.5228e-08,-1.0415e-07,2.3753e-08,25,0,0
1.6,-0.5,-0.1,0.5,0,-3.4186e-08,-1.0203e-07,3.4189e-08,26,0,0
1.6,-0.3,-0.1,0.3,0,-2.3616e-08,-1.0654e-07,2.3615e-08,27,0,0
1.6,-0.3,-0.1,0.5,0,-2.3751e-08,-1.0415e-07,3.5228e-08,28,0,0
1.6,-0.5,-0.1,0.1,0,-3.8164e-08,-1.0255e-07,7.6476e-09,29,0,0
1.6,-0.3,-0.1,0.1,0,-2.4873e-08,-1.0502e-07,7.257e-09,30,0,0
1.6,-0.5,-0.1,-0.1,0,-3.8164e-08,-1.0255e-07,-7.65e-09,31,0,0
1.6,-0.3,-0.1,-0.1,0,-2.4873e-08,-1.0502e-07,-7.2597e-09,32,0,0
1.6,-0.5,-0.1,-0.3,0,-3.5228e-08,-1.0416e-07,-2.3755e-08,33,0,0
1.6,-0.3,-0.1,-0.3,0,-2.3615e-08,-1.0654e-07,-2.3618e-08,34,0,0
1.6,-0.5,-0.1,-0.5,0,-3.4187e-08,-1.0204e-07,-3.4192e-08,35,0,0
1.6,-0.3,-0.1,-0.5,0,-2.3751e-08,-1.0416e-07,-3.5231e-08,36,0,0
1.6,-0.5,0.1,0.3,0,-2.6645e-08,-1.3643e-07,1.6763e-08,37,0,0
1.6,-0.5,0.1,0.5,0,-2.6663e-08,-1.2933e-07,2.6674e-08,38,0,0
1.6,-0.3,0.1,0.3,0,-1.6793e-08,-1.4387e-07,1.6794e-08,39,0,0
1.6,-0.3,0.1,0.5,0,-1.6758e-08,-1.3642e-07,2.6647e-08,40,0,0
1.6,-0.5,0.1,0.1,0,-2.7391e-08,-1.3796e-07,6.2313e-09,41,0,0
1.6,-0.3,0.1,0.1,0,-1.7377e-08,-1.4574e-07,6.1296e-09,42,0,0
1.6,-0.5,0.1,-0.1,0,-2.7391e-08,-1.3796e-07,-6.2373e-09,43,0,0
1.6,-0.3,0.1,-0.1,0,-1.7376e-08,-1.4574e-07,-6.1379e-09,44,0,0
1.6,-0.5,0.1,-0.3,0,-2.6647e-08,-1.3643e-07,-1.6767e-08,45,0,0
1.6,-0.3,0.1,-0.3,0,-1.6794e-08,-1.4387e-07,-1.6798e-08,46,0,0
1.6,-0.5,0.1,-0.5,0,-2.6669e-08,-1.2934e-07,-2.6677e-08,47,0,0
1.6,-0.3,0.1,-0.5,0,-1.6759e-08,-1.3643e-07,-2.6651e-08,48,0,0
1.6,-0.5,0.3,0.3,0,-1.3994e-08,-1.5759e-07,9.2344e-09,49,0,0
1.6,-0.5,0.3,0.5,0,-1.3806e-08,-1.4856e-07,1.3825e-08,50,0,0
1.6,-0.3,0.3,0.3,0,-9.1652e-09,-1.6672e-07,9.1523e-09,51,0,0
1.6,-0.3,0.3,0.5,0,-9.2086e-09,-1.5757e-07,1.3982e-08,52,0,0
1.6,-0.5,0.3,0.1,0,-1.4219e-08,-1.6117e-07,3.1422e-09,53,0,0
1.6,-0.3,0.3,0.1,0,-9.2605e-09,-1.7047e-07,3.1007e-09,54,0,0
1.6,-0.5,0.3,-0.1,0,-1.4217e-08,-1.6117e-07,-3.1535e-09,55,0,0
1.6,-0.3,0.3,-0.1,0,-9.2559e-09,-1.7047e-07,-3.1147e-09,56,0,0
1.6,-0.5,0.3,-0.3,0,-1.3995e-08,-1.576e-07,-9.2392e-09,57,0,0
1.6,-0.3,0.3,-0.3,0,-9.1603e-09,-1.6673e-07,-9.1662e-09,58,0,0
1.6,-0.5,0.3,-0.5,0,-1.3819e-08,-1.4857e-07,-1.3829e-08,59,0,0
1.6,-0.3,0.3,-0.5,0,-9.2279e-09,-1.576e-07,-1.4001e-08,60,0,0
1.6,-0.5,0.5,0.3,0,-1.5548e-09,-1.6546e-07,1.0657e-09,61,0,0
1.6,-0.5,0.5,0.5,0,-1.6144e-09,-1.5575e-07,1.5948e-09,62,0,0
1.6,-0.3,0.5,0.3,0,-1.095e-09,-1.7524e-07,1.0813e-09,63,0,0
1.6,-0.3,0.5,0.5,0,-1.086e-09,-1.654e-07,1.5413e-09,64,0,0
